,Forecasting
2018-03-25,2001255.151169817
2018-03-26,1857183.6643042027
2018-03-27,1956634.4471856765
2018-03-28,2186616.513294048
2018-03-29,2173552.627249963
2018-03-30,2199649.7651885888
2018-03-31,1993698.9276761916
2018-04-01,1918927.5800663177
2018-04-02,1822467.2875995126
2018-04-03,1880783.4498042492
2018-04-04,1824539.829002472
2018-04-05,2058050.9750415855
2018-04-06,1869889.241390634
2018-04-07,1869553.5613565578
2018-04-08,1909767.476390336
2018-04-09,1675315.4793395346
2018-04-10,1636838.4708908903
2018-04-11,1629668.0155250765
2018-04-12,1717203.7414489246
2018-04-13,1775246.0542814115
2018-04-14,1670897.6254841425
2018-04-15,1665575.116323302
2018-04-16,1697368.0552679512
2018-04-17,1776414.0566998576
2018-04-18,1643752.1626766399
2018-04-19,1587366.297132822
2018-04-20,1606420.4494815643
2018-04-21,1657926.7850152678
2018-04-22,1610708.0850268267
2018-04-23,1493964.1086729718
2018-04-24,1520376.6926667162
2018-04-25,1676522.353716934
2018-04-26,1645196.9226159274
2018-04-27,1586217.324617244
2018-04-28,1523260.6022691913
2018-04-29,1865781.2799533692
2018-04-30,1742176.8151957064
2018-05-01,1667897.4294063516
2018-05-02,1693814.97252278
2018-05-03,2032003.4490205715
2018-05-04,2002881.200178534
2018-05-05,2061733.1765100309
2018-05-06,1954381.2981668604
2018-05-07,2055200.2317136978
2018-05-08,2781969.935280081
2018-05-09,2248320.090222798
2018-05-10,1983358.1948600323
2018-05-11,2202406.2982815052
2018-05-12,1908338.7045006203
2018-05-13,1716293.4132411894
2018-05-14,1731069.9950446992
2018-05-15,2204379.3725493937
2018-05-16,2374689.7309317505
2018-05-17,2154612.0738642924
2018-05-18,2283009.7307549873
2018-05-19,2583603.8261734643
2018-05-20,2604676.7016170863
2018-05-21,2596537.5639586546
2018-05-22,2322071.5291217775
2018-05-23,2194698.274152604
2018-05-24,2171760.859367809
2018-05-25,2232025.5968536544
2018-05-26,2135888.6713609817
2018-05-27,2508083.8101720153
2018-05-28,2214078.1548408223
2018-05-29,2212101.438507754
2018-05-30,2313762.5105264494
2018-05-31,2012393.5024571188
2018-06-01,1966013.89083717
2018-06-02,1976442.2644724115
2018-06-03,2058069.8655853795
2018-06-04,2156164.8066442856
2018-06-05,1986956.9503950216
2018-06-06,1990999.118397789
2018-06-07,1880125.495546864
2018-06-08,2061226.159991371
2018-06-09,1908270.6247857574
2018-06-10,1872425.5426616156
2018-06-11,1902867.277243073
2018-06-12,1954006.6478244725
2018-06-13,1923574.1850626064
2018-06-14,1853899.8800554434
2018-06-15,1925454.0871447397
2018-06-16,2121361.995881195
2018-06-17,2053069.5486320022
2018-06-18,1966604.9030688647
2018-06-19,1860481.9869601189
2018-06-20,2234695.3067962257
2018-06-21,2106937.4846307714
2018-06-22,1902912.266109909
2018-06-23,1982404.583254798
2018-06-24,2315473.8179723057
2018-06-25,2300420.096028451
